epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,1626.89,0.64583,1.56829,0.60776,1.11258,0,0.81016,0.66214,0.73598,0.5177,0.80346,0.65589,0.7167,0.47702,1.11457,2.57303,1.1658,1.60416,0,0.0003755,0.0003755,0.0003755
108,1641.66,0.61737,1.50113,0.59011,1.0861,0,0.8509,0.63223,0.73815,0.53003,0.76012,0.6632,0.71951,0.47808,1.04993,2.6098,1.20578,1.53093,0,0.00036725,0.00036725,0.00036725
109,1656.47,0.61011,1.42728,0.56767,1.07828,0,0.82006,0.63916,0.72594,0.515,0.81328,0.63302,0.7078,0.47195,1.06531,2.59702,1.25952,1.51362,0,0.000359,0.000359,0.000359
110,1671.27,0.60152,1.46832,0.57317,1.07921,0,0.83228,0.65612,0.74076,0.52299,0.82484,0.64995,0.72403,0.46416,1.09387,2.69155,1.2604,1.54343,0,0.00035075,0.00035075,0.00035075
111,1686.11,0.58725,1.44623,0.55009,1.07293,0,0.90115,0.63057,0.74781,0.53151,0.88915,0.61412,0.72847,0.48125,1.12524,2.72331,1.17116,1.60648,0,0.0003425,0.0003425,0.0003425
112,1700.89,0.60137,1.4379,0.56048,1.06986,0,0.79227,0.66643,0.72066,0.51021,0.80665,0.66753,0.70888,0.46199,1.14074,2.76384,1.28591,1.63117,0,0.00033425,0.00033425,0.00033425
113,1715.66,0.58185,1.41632,0.54618,1.0676,0,0.7916,0.72919,0.74687,0.52463,0.78908,0.73137,0.73189,0.4798,1.09122,2.69281,1.10107,1.55528,0,0.000326,0.000326,0.000326
114,1730.5,0.58274,1.40607,0.53915,1.06268,0,0.77186,0.67074,0.75213,0.52318,0.78268,0.68353,0.74066,0.48553,1.08562,2.60316,1.15802,1.53391,0,0.00031775,0.00031775,0.00031775
115,1745.26,0.56123,1.3987,0.52371,1.05896,0,0.83949,0.66814,0.73452,0.51494,0.79277,0.70386,0.73181,0.46846,1.10206,2.70105,1.2128,1.60386,0,0.0003095,0.0003095,0.0003095
116,1760.03,0.57796,1.43851,0.5502,1.07205,0,0.85899,0.6547,0.75533,0.5365,0.8954,0.62048,0.73067,0.49267,1.06895,2.57883,1.25398,1.55029,0,0.00030125,0.00030125,0.00030125
117,1775.33,0.59784,1.43702,0.54478,1.07849,0,0.83255,0.65841,0.73029,0.5295,0.82751,0.66212,0.71282,0.4811,1.09089,2.59572,1.40558,1.53694,0,0.000293,0.000293,0.000293
118,1790.01,0.58137,1.41114,0.53974,1.07973,0,0.83166,0.69165,0.73719,0.52252,0.79349,0.69607,0.72078,0.47343,1.08397,2.60408,1.20435,1.55257,0,0.00028475,0.00028475,0.00028475
119,1804.81,0.56944,1.3687,0.53365,1.06142,0,0.86034,0.65841,0.73717,0.52866,0.85025,0.64979,0.72356,0.47333,1.10416,2.68135,1.22032,1.56877,0,0.0002765,0.0002765,0.0002765
120,1819.56,0.55301,1.38341,0.52204,1.04612,0,0.87044,0.64096,0.72905,0.5288,0.83782,0.66342,0.72409,0.47907,1.10563,2.66375,1.26556,1.60614,0,0.00026825,0.00026825,0.00026825
121,1834.39,0.56489,1.42394,0.4939,1.05022,0,0.80214,0.68791,0.73385,0.5286,0.80262,0.6889,0.71841,0.46781,1.06352,2.66364,1.18961,1.54868,0,0.00026,0.00026,0.00026
